Movie	Description
Charlie's Angels	"Director Elizabeth Banks takes the helm as the next generation of fearless CHARLIE'S ANGELS take flight. In Banks' bold vision, Kristen Stewart, Naomi Scott, and Ella Balinska are working for the mysterious Charles Townsend, whose security and investigative agency has expanded internationally. With the world's smartest, bravest, and most highly trained women all over the globe, there are now teams of Angels guided by multiple Bosleys taking on the toughest jobs everywhere. The screenplay is by Elizabeth Banks from a story by Evan Spiliotopoulos and David Auburn."
Doctor Sleep	"“Stephen King’s Doctor Sleep” continues the story of Danny Torrance, 40 years after his terrifying stay at the Overlook Hotel in The Shining. Ewan McGregor, Rebecca Ferguson and newcomer Kyliegh Curran star in the supernatural thriller, directed by Mike Flanagan, from his own screenplay based upon the novel by Stephen King. Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the “shine.” Instinctively recognizing that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers, The True Knot, who feed off the shine of innocents in their quest for immortality. Forming an unlikely alliance, Dan and Abra engage in a brutal life-or-death battle with Rose. Abra’s innocence and fearless embrace of her shine compel Dan to call upon his own powers as never before—at once facing his fears and reawakening the ghosts of the past."
Ford v. Ferrari	"Academy Award-winners Matt Damon and Christian Bale star in FORD v FERRARI, based on the remarkable true story of the visionary American car designer Carroll Shelby (Damon) and the fearless British-born driver Ken Miles (Bale), who together battled corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966."
Joker	"Warner Bros. Pictures’ “Joker” stars Oscar nominee Joaquin Phoenix in the title role, alongside Oscar winner Robert De Niro, and is directed, produced and co-written by Oscar nominee Todd Phillips. “Joker” centers around the iconic arch nemesis and is an original, standalone story not seen before on the big screen. Phillips’ exploration of Arthur Fleck (Phoenix), a man disregarded by society, is not only a gritty character study, but also a broader cautionary tale."
Last Christmas	"Kate (Clarke) harumphs around London, a bundle of bad decisions accompanied by the jangle of bells on her shoes, another irritating consequence from her job as an elf in a year-round Christmas shop. Tom (Golding) seems too good to be true when he walks into her life and starts to see through so many of Kate's barriers. As London transforms into the most wonderful time of the year, nothing should work for these two. But sometimes, you gotta let the snow fall where it may, you gotta listen to your heart... and you gotta have faith."
Maleficent: Mistress of Evil	"MALEFICENT: MISTRESS OF EVIL is a fantasy adventure that picks up several years after 'Maleficent,' in which audiences learned of the events that hardened the heart of Disney's most notorious villain and drove her to curse a baby Princess Aurora. The film continues to explore the complex relationship between the horned fairy and the soon to be Queen as they form new alliances and face new adversaries in their struggle to protect the moors and the magical creatures that reside within. The film is directed by Joachim Ranning from a story by Linda Woolverton and a screenplay by Linda Woolverton and Micah Fitzerman-Blue & Noah Harpster, the film is produced by Joe Roth, Angelina Jolie and Duncan Henderson with Matt Smith, Jeff Kirschenbaum and Michael Vieira serving as executive producers."
Bala (Hindi w/e.s.t)	"Bala (English : Without Hairs) is an upcoming Indian 2019 Hindi-language satirical comedy film directed by Amar Kaushik and produced by Dinesh Vijan. Ayushmann Khurrana stars as Bala, a man living in Kanpur who is suffering from alopecia, and the story is about his lack of confidence and societal pressure that comes with balding. Bhumi Pednekar, Yami Gautam, Javed Jaffrey and Saurabh Shukla feature in supporting Roles."
Better Days (Mandarin w/ Chinese & English s.t.)	"Nian finds her life at a standstill when faced by relentless bullying from her peers as she prepares for her college entrance exam. Fate brings her together with small-time criminal Bei, but before they can retreat into a world of their own, both are dragged into the middle of a murder investigation that will change their lives forever. In this dramatic thriller, Derek Kwok-Cheung Tsang paints a bleak picture of an oppressive society, in the guise of a gripping fairy-tale love story, exposing the dark world of bullying and societal pressures of achievement facing today’s youth."
Black And Blue	"BLACK AND BLUE is a fast-paced action thriller about a rookie cop (Academy Award nominee Naomie Harris) who inadvertently captures the murder of a young drug dealer on her body cam. After realizing that the murder was committed by corrupt cops, she teams up with the one person from her community who is willing to help her (Tyrese Gibson) as she tries to escape both the criminals out for revenge and the police who are desperate to destroy the incriminating footage."
Harriet	"Based on the thrilling and inspirational life of an iconic American freedom fighter, HARRIET tells the extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes. Her courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history."
