Date,Movie ,Location,Showtime,Type,Age Rating
18-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,12:30 PM,VIP 19+,PG
18-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,3:30 PM,VIP 19+,PG
18-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,6:45 PM,VIP 19+,PG
18-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,10:00 PM,VIP 19+,PG
18-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,1:35 PM,IMAX,PG
18-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,4:30 PM,IMAX,PG
18-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,7:25 PM,IMAX,PG
18-Nov-19,Charlie's Angels,Cineplex Yonge-Dundas,10:20 PM,IMAX,PG
18-Nov-19,Doctor Sleep,Cineplex Yonge-Dundas,1:30 PM,VIP 19+,14A
18-Nov-19,Doctor Sleep,Cineplex Yonge-Dundas,5:15 PM,VIP 19+,14A
18-Nov-19,Doctor Sleep,Cineplex Yonge-Dundas,9:30 PM,VIP 19+,14A
18-Nov-19,Ford v. Ferrari,Cineplex Yonge-Dundas,11:00 PM,VIP 19+,PG
18-Nov-19,Ford v. Ferrari,Cineplex Yonge-Dundas,2:30 PM,VIP 19+,PG
18-Nov-19,Ford v. Ferrari,Cineplex Yonge-Dundas,6:15 PM,VIP 19+,PG
18-Nov-19,Ford v. Ferrari,Cineplex Yonge-Dundas,10:20 PM,VIP 19+,PG
18-Nov-19,Joker,Cineplex Yonge-Dundas,2:00 PM,VIP 19+,14A
18-Nov-19,Joker,Cineplex Yonge-Dundas,5:45 PM,VIP 19+,14A
18-Nov-19,Joker,Cineplex Yonge-Dundas,1:20 PM,Ultra AVX,14A
18-Nov-19,Joker,Cineplex Yonge-Dundas,4:30 PM,Ultra AVX,14A
18-Nov-19,Joker,Cineplex Yonge-Dundas,7:50 PM,Ultra AVX,14A
18-Nov-19,Joker,Cineplex Yonge-Dundas,10:40 PM,Ultra AVX,14A
18-Nov-19,Last Christmas,Cineplex Yonge-Dundas,1:00 PM,VIP 19+,PG
18-Nov-19,Last Christmas,Cineplex Yonge-Dundas,4:00 PM,VIP 19+,PG
18-Nov-19,Last Christmas,Cineplex Yonge-Dundas,9:00 PM,VIP 19+,PG
18-Nov-19,Last Christmas,Cineplex Yonge-Dundas,10:40 PM,VIP 19+,PG
18-Nov-19,Last Christmas,Cineplex Yonge-Dundas,2:00 PM,Regular ,PG
18-Nov-19,Last Christmas,Cineplex Yonge-Dundas,4:40 PM,Regular ,PG
18-Nov-19,Last Christmas,Cineplex Yonge-Dundas,7:20 PM,Regular ,PG
18-Nov-19,Last Christmas,Cineplex Yonge-Dundas,10:00 PM,Regular ,PG
18-Nov-19,Maleficent: Mistress Of Evil,Cineplex Yonge-Dundas,7:40 PM,Regular 3D,PG
18-Nov-19,Maleficent: Mistress Of Evil,Cineplex Yonge-Dundas,10:30 PM,Regular 3D,PG
18-Nov-19,Maleficent: Mistress Of Evil,Cineplex Yonge-Dundas,1:50 PM,Regular,PG
18-Nov-19,Maleficent: Mistress Of Evil,Cineplex Yonge-Dundas,4:40 PM,Regular,PG
18-Nov-19,Bala (Hindi w/e.s.t),Cineplex Yonge-Dundas,3:40 PM,Regular,PG
18-Nov-19,Bala (Hindi w/e.s.t),Cineplex Yonge-Dundas,7:00 PM,Regular,PG
18-Nov-19,Bala (Hindi w/e.s.t),Cineplex Yonge-Dundas,10:20 PM,Regular,PG
18-Nov-19,Better Days (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,3:30 PM,Regular,PG
18-Nov-19,Better Days (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,7:00 PM,Regular,PG
18-Nov-19,Better Days (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,10:00 PM,Regular,PG
18-Nov-19,Better Days (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,10:30 PM,Regular,PG
18-Nov-19,Black And Blue,Cineplex Yonge-Dundas,9:50 PM,Regular,14A
18-Nov-19,Harriet,Cineplex Yonge-Dundas,10:40 PM,Regular,PG
